Com_Name,Sci_Name,n,max_conf,mean_conf,rarity,annual_mean,n_months_present,prop_suspect,any_not_in_bc,any_out_of_season
Canada Goose,Branta canadensis,124,0.90910065,0.7743073355645161,Common,0.27100973125,12,0,FALSE,FALSE
Belted Kingfisher,Megaceryle alcyon,95,0.9992017,0.9152447981052632,Common,0.09884983541666667,12,0,FALSE,FALSE
Mourning Dove,Zenaida macroura,90,0.98740166,0.8365117877777778,Common,0.02991458958333333,12,0,FALSE,FALSE
Says Phoebe,Sayornis saya,86,0.9670588,0.7912264772093023,Uncommon,0.009873058333333334,7,0,FALSE,FALSE
Red Crossbill,Loxia curvirostra,80,0.91280466,0.76127104425,Common,0.04814729375,12,0,FALSE,FALSE
Downy Woodpecker,Dryobates pubescens,75,0.97881657,0.8067936236,Common,0.12891808125,12,0,FALSE,FALSE
Orange-crowned Warbler,Leiothlypis celata,74,0.91903526,0.8033007228378378,Common,0.0736150625,12,0,FALSE,FALSE
Purple Finch,Haemorhous purpureus,52,0.96802706,0.7760050980769231,Common,0.07601124791666666,12,0,FALSE,FALSE
American Crow,Corvus brachyrhynchos,51,0.91688776,0.7599148003921569,Common,0.45742845,12,0,FALSE,FALSE
Brown-headed Cowbird,Molothrus ater,43,0.9570442,0.8248439058139535,Common,0.05478966875,12,0,FALSE,FALSE
Caspian Tern,Hydroprogne caspia,43,0.99210477,0.8381444455813953,Uncommon,0.01065931875,7,0,FALSE,FALSE
Mountain Chickadee,Poecile gambeli,40,0.9331473,0.76601641875,Common,0.04939830625,12,0,FALSE,FALSE
Black-throated Gray Warbler,Setophaga nigrescens,33,0.84770644,0.7631299327272727,Uncommon,0.017715927083333333,7,0,FALSE,FALSE
Northern Waterthrush,Parkesia noveboracensis,28,0.8318674,0.7518708475,Uncommon,0.01131581875,5,0,FALSE,FALSE
Ruby-crowned Kinglet,Corthylio calendula,27,0.95683,0.8133334996296296,Common,0.10793948958333334,12,0,FALSE,FALSE
Fox Sparrow,Passerella iliaca,24,0.91231906,0.7815768675,Common,0.09751858958333333,12,0,FALSE,FALSE
Eurasian Collared-Dove,Streptopelia decaocto,21,0.96445656,0.8329251057142857,Common,0.08510233958333334,12,0,FALSE,FALSE
Mallard,Anas platyrhynchos,21,0.7963354,0.7394143966666666,Common,0.34360887291666664,12,0,FALSE,FALSE
Townsends Warbler,Setophaga townsendi,20,0.92637825,0.761829443,Common,0.027606602083333334,10,0,FALSE,FALSE
Black-bellied Plover,Pluvialis squatarola,19,0.89503175,0.7773564205263158,Uncommon,0.01974501875,12,0,FALSE,FALSE
Dunlin,Calidris alpina,19,0.9219226,0.7960655442105263,Common,0.022847314583333334,12,0,FALSE,FALSE
Greater White-fronted Goose,Anser albifrons,19,0.86764705,0.7642050052631579,Uncommon,0.00897589375,10,0,FALSE,FALSE
White-throated Sparrow,Zonotrichia albicollis,19,0.92731875,0.7912812063157895,Common,0.022529147916666666,12,0,FALSE,FALSE
Dusky Flycatcher,Empidonax oberholseri,15,0.84748834,0.7545276553333333,Uncommon,0.01066774375,6,0,FALSE,FALSE
Bohemian Waxwing,Bombycilla garrulus,14,0.9648828,0.8112591828571428,Uncommon,0.0106898625,8,0,FALSE,FALSE
Glaucous-winged Gull,Larus glaucescens,14,0.9004634,0.8014032392857143,Common,0.29491366458333335,12,0,FALSE,FALSE
Olive-sided Flycatcher,Contopus cooperi,13,0.9839797,0.8398936646153846,Uncommon,0.012790470833333333,5,0,FALSE,FALSE
Tree Swallow,Tachycineta bicolor,13,0.8066094,0.7619068261538462,Common,0.07169639583333333,8,0,FALSE,FALSE
Barred Owl,Strix varia,12,0.9496667,0.8074446275,Uncommon,0.013129454166666667,12,0,FALSE,FALSE
Bald Eagle,Haliaeetus leucocephalus,8,0.9849392,0.8801274862499999,Common,0.26889227083333334,12,0,FALSE,FALSE
Green-winged Teal,Anas crecca,8,0.8720542,0.78081207875,Common,0.10227319375,12,0,FALSE,FALSE
Savannah Sparrow,Passerculus sandwichensis,8,0.7914282,0.74217186875,Common,0.0666714,12,0,FALSE,FALSE
Barn Swallow,Hirundo rustica,7,0.89298594,0.7845764971428572,Common,0.08522934375,11,0,FALSE,FALSE
Western Wood-Pewee,Contopus sordidulus,7,0.8007403,0.7520973814285714,Common,0.029992279166666667,5,0,FALSE,FALSE
Chipping Sparrow,Spizella passerina,6,0.7858826,0.742592355,Common,0.05115168125,7,0,FALSE,FALSE
Eastern Kingbird,Tyrannus tyrannus,6,0.79693896,0.7654716766666667,Uncommon,0.01841135,5,0,FALSE,FALSE
Least Sandpiper,Calidris minutilla,6,0.8592029,0.7569514666666667,Common,0.022136527083333333,8,0,FALSE,FALSE
Northern Pintail,Anas acuta,6,0.81610805,0.74979756,Common,0.06534932083333334,12,0,FALSE,FALSE
American Kestrel,Falco sparverius,5,0.90555817,0.8076634580000001,Common,0.02823075,12,0,FALSE,FALSE
Eurasian Wigeon,Mareca penelope,5,0.8805882,0.82416072,Uncommon,0.0150218,9,0,FALSE,FALSE
European Starling,Sturnus vulgaris,5,0.8648564,0.783251818,Common,0.24338356458333332,12,0,FALSE,FALSE
Northern Rough-winged Swallow,Stelgidopteryx serripennis,5,0.9327914,0.811282076,Common,0.03444837916666667,6,0,FALSE,FALSE
Sandhill Crane,Antigone canadensis,5,0.85607713,0.77479082,Uncommon,0.01757879375,12,0,FALSE,FALSE
Cliff Swallow,Petrochelidon pyrrhonota,4,0.8081977,0.73451924,Uncommon,0.013419895833333334,6,0,FALSE,FALSE
Great Blue Heron,Ardea herodias,4,0.7243057,0.7186740125,Common,0.19972190625,12,0,FALSE,FALSE
Hermit Thrush,Catharus guttatus,4,0.79045206,0.7528139549999999,Common,0.021712664583333333,12,0,FALSE,FALSE
