Date,Time,Sci_Name,Com_Name,Confidence,File_Name,month_num,annual_mean,annual_max,n_months_present,rarity,present_m1,present_m2,present_m3,present_m4,present_m5,present_m6,present_m7,present_m8,present_m9,present_m10,present_m11,present_m12,in_bc_list,flag_not_in_bc,flag_low_conf,flag_out_of_season,flag_rare_status,flag_early_deploy,flag_suspect
2024-06-15,00:52:24,Chordeiles minor,Common Nighthawk,0.9823444,Common_Nighthawk-98-2024-06-15-birdnet-00:52:24.mp3,6,0.009417010416666666,0.0377997,5,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,00:52:24,Chordeiles minor,Common Nighthawk,0.9713795,Common_Nighthawk-97-2024-06-15-birdnet-00:52:24.mp3,6,0.009417010416666666,0.0377997,5,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,00:52:39,Chordeiles minor,Common Nighthawk,0.9955348,Common_Nighthawk-100-2024-06-15-birdnet-00:52:39.mp3,6,0.009417010416666666,0.0377997,5,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,00:52:39,Chordeiles minor,Common Nighthawk,0.98745745,Common_Nighthawk-99-2024-06-15-birdnet-00:52:39.mp3,6,0.009417010416666666,0.0377997,5,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,00:52:39,Chordeiles minor,Common Nighthawk,0.9657965,Common_Nighthawk-97-2024-06-15-birdnet-00:52:39.mp3,6,0.009417010416666666,0.0377997,5,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,00:52:39,Chordeiles minor,Common Nighthawk,0.92122597,Common_Nighthawk-92-2024-06-15-birdnet-00:52:39.mp3,6,0.009417010416666666,0.0377997,5,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,00:52:39,Chordeiles minor,Common Nighthawk,0.84176517,Common_Nighthawk-84-2024-06-15-birdnet-00:52:39.mp3,6,0.009417010416666666,0.0377997,5,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,00:52:54,Chordeiles minor,Common Nighthawk,0.7939086,Common_Nighthawk-79-2024-06-15-birdnet-00:52:54.mp3,6,0.009417010416666666,0.0377997,5,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,03:48:26,Tachycineta thalassina,Violet-green Swallow,0.8398815,Violet-green_Swallow-84-2024-06-15-birdnet-03:48:26.mp3,6,0.09179453124999999,0.283461025,9,Common,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
2024-06-15,04:12:56,Piranga ludoviciana,Western Tanager,0.7196282,Western_Tanager-72-2024-06-15-birdnet-04:12:56.mp3,6,0.048532529166666664,0.154263875,7,Common,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
