









Frequency of observations in the selected location(s).:
Number of taxa: 	854

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
California Quail	0.0392281	0.0378127	0.039009	0.0385278	0.0396667	0.0382502	0.04098	0.0391839	0.0442858	0.0446904	0.0497102	0.0546425	0.0602412	0.0643136	0.0721764	0.0802971	0.0823744	0.0860819	0.1040795	0.0947904	0.078097	0.0728075	0.0650513	0.0613102	0.0605015	0.0616463	0.0596758	0.0643476	0.0666747	0.066511	0.0610523	0.0600413	0.0568285	0.0578706	0.0592643	0.0609807	0.0586059	0.0554233	0.0501764	0.0444235	0.0455527	0.0453689	0.046909	0.0484977	0.0515756	0.0541859	0.0645813	0.0565515	
Northern Bobwhite x California Quail (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.05E-5	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wild Turkey	0.0044604	0.0040136	0.0047878	0.0044957	0.0047574	0.0043368	0.0043388	0.0036978	0.0042706	0.0048119	0.0045026	0.0036816	0.0045058	0.003954	0.004532	0.0037911	0.0039434	0.0043954	0.0030677	0.003788	0.0027868	0.0026659	0.0023215	0.0026905	0.0021701	0.0015576	0.0021905	0.0024179	0.0017776	0.0021475	0.0023889	0.0020433	0.0023713	0.0024651	0.0025573	0.0024725	0.0024255	0.0022312	0.0031814	0.0034667	0.0031534	0.0035099	0.0038684	0.0041357	0.0043085	0.0043176	0.0048519	0.0041909	
Ruffed Grouse	0.0091321	0.0063977	0.0069728	0.0082926	0.0067588	0.0079463	0.0091951	0.0071361	0.0063474	0.0073381	0.008436	0.0103049	0.0143856	0.0190104	0.0253667	0.0286354	0.0270347	0.0260709	0.0288692	0.0268932	0.0231792	0.020569	0.0147756	0.0106192	0.0081575	0.008537	0.0079171	0.0071624	0.0094905	0.0118892	0.0114001	0.0127141	0.0146414	0.0165219	0.0181391	0.0196822	0.0198587	0.0170762	0.0155267	0.0143374	0.0138475	0.0126747	0.0107414	0.0100035	0.0096308	0.0100168	0.0105124	0.0110464	
Dusky Grouse	3.287E-4	9.05E-5	3.21E-5	9.32E-5	1.64E-4	1.616E-4	1.194E-4	1.622E-4	2.633E-4	9.02E-5	4.399E-4	8.984E-4	0.0013611	0.0015414	0.0019093	0.0023461	0.0023888	0.0020559	0.0026817	0.0022336	0.0029859	0.0026429	0.004111	0.0035262	0.0034251	0.0030254	0.0027538	0.0030794	0.0032539	0.0033925	0.0028122	0.0024149	0.0021783	0.0020542	0.0015165	0.0017626	0.001425	0.001785	7.608E-4	7.181E-4	5.827E-4	4.55E-4	1.502E-4	1.414E-4	2.112E-4	3.886E-4	5.513E-4	5.691E-4	
Sooty Grouse	9.39E-5	6.04E-5	9.64E-5	9.32E-5	9.84E-5	2.424E-4	2.985E-4	5.19E-4	5.558E-4	0.0012932	0.0025877	0.0040163	0.0061016	0.0095164	0.0125469	0.0142167	0.0146359	0.0135406	0.0133071	0.0131448	0.0174507	0.016708	0.017605	0.012311	0.011661	0.011173	0.0092002	0.007208	0.0056943	0.0038593	0.0037496	0.0035088	0.0028952	0.0028172	0.0029439	0.0017871	0.0018191	0.0016957	7.608E-4	5.695E-4	5.141E-4	3.575E-4	4.131E-4	1.767E-4	8.45E-5	8.64E-5	1.838E-4	7.76E-5	
Dusky/Sooty Grouse	2.35E-5	0.0	0.0	0.0	0.0	0.0	0.0015	3.24E-5	0.0	3.01E-5	0.0	1.76E-5	7.04E-5	4.47E-5	1.259E-4	1.088E-4	7.58E-5	1.418E-4	6.09E-5	9.05E-5	1.991E-4	1.379E-4	3.386E-4	2.854E-4	2.092E-4	1.797E-4	2.191E-4	1.141E-4	2.109E-4	1.867E-4	2.117E-4	2.27E-4	1.379E-4	3.522E-4	8.92E-5	1.469E-4	9.1E-5	5.95E-5	3.46E-5	2.48E-5	0.0	0.0	0.0	0.0	0.0	8.64E-5	0.0	2.59E-5	
Sharp-tailed Grouse	5.869E-4	2.716E-4	6.105E-4	6.988E-4	4.265E-4	4.31E-4	3.383E-4	4.217E-4	5.85E-4	4.812E-4	3.623E-4	4.58E-4	7.51E-4	6.925E-4	6.504E-4	9.789E-4	6.256E-4	6.026E-4	6.095E-4	5.282E-4	3.539E-4	4.367E-4	2.66E-4	3.057E-4	2.092E-4	1.797E-4	1.878E-4	2.281E-4	3.01E-5	2.49E-4	3.024E-4	2.064E-4	1.654E-4	4.989E-4	5.353E-4	4.651E-4	7.883E-4	4.165E-4	7.954E-4	4.21E-4	2.399E-4	7.475E-4	7.511E-4	7.777E-4	2.957E-4	4.318E-4	6.616E-4	4.139E-4	
White-tailed Ptarmigan	4.7E-5	1.207E-4	0.0015	4.66E-5	1.64E-4	8.08E-5	2.587E-4	1.946E-4	1.17E-4	1.203E-4	1.294E-4	1.409E-4	4.69E-5	6.7E-5	2.1E-5	3.11E-5	7.58E-5	7.09E-5	6.09E-5	9.05E-5	1.106E-4	3.447E-4	2.418E-4	4.484E-4	9.674E-4	0.0014678	0.0015334	0.0022126	0.0019885	0.0014628	0.0014212	0.0011146	7.996E-4	5.869E-4	4.46E-4	4.651E-4	6.67E-4	1.785E-4	1.383E-4	2.48E-5	6.86E-5	4.55E-4	3.76E-5	1.414E-4	0.0015	1.295E-4	1.103E-4	5.17E-5	
Willow Ptarmigan	4.7E-5	0.0	9.64E-5	9.32E-5	9.84E-5	2.69E-5	5.97E-5	1.297E-4	1.17E-4	1.504E-4	1.553E-4	2.642E-4	2.581E-4	2.457E-4	3.777E-4	1.554E-4	7.58E-5	2.658E-4	5.892E-4	4.226E-4	9.953E-4	0.0010112	8.948E-4	7.745E-4	0.001255	8.387E-4	5.32E-4	6.387E-4	5.724E-4	1.556E-4	6.048E-4	3.302E-4	1.103E-4	2.348E-4	1.189E-4	2.45E-5	6.06E-5	5.95E-5	1.037E-4	7.43E-5	3.43E-5	0.0	1.127E-4	1.767E-4	0.0015	4.32E-5	2.573E-4	5.17E-5	
Rock Ptarmigan	0.0	0.0	3.21E-5	2.33E-5	3.28E-5	0.0	0.0	0.0	2.93E-5	0.0015	0.0	1.76E-5	2.35E-5	0.0	2.1E-5	0.0015	5.69E-5	1.418E-4	3.047E-4	1.509E-4	3.981E-4	4.596E-4	2.66E-4	3.057E-4	4.445E-4	2.097E-4	2.503E-4	1.141E-4	3.013E-4	2.179E-4	2.721E-4	1.238E-4	5.51E-5	5.87E-5	8.92E-5	0.0015	0.0	2.97E-5	0.0	2.48E-5	6.86E-5	3.25E-5	3.76E-5	7.07E-5	0.0	0.0	0.0015	0.0	
ptarmigan sp.	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	3.24E-5	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	2.61E-5	0.0	3.13E-5	2.28E-5	3.01E-5	3.11E-5	0.0	2.06E-5	2.76E-5	0.0	0.0	4.9E-5	3.03E-5	0.0	0.0	0.0	3.43E-5	3.25E-5	0.0	0.0	0.0	4.32E-5	7.35E-5	0.0015	
Spruce Grouse	2.582E-4	3.018E-4	2.892E-4	5.358E-4	4.593E-4	4.849E-4	4.976E-4	4.217E-4	3.218E-4	2.406E-4	4.14E-4	4.228E-4	3.755E-4	1.564E-4	4.406E-4	6.992E-4	0.0011944	0.0011343	0.0012799	0.0013884	0.0012607	0.0014019	0.0014993	0.0027924	0.0028238	0.0026959	0.0030041	0.0035584	0.0034949	0.0039216	0.0039311	0.0035501	0.0036672	0.0035802	0.0034197	0.0030356	0.0032441	0.0024692	0.0017982	0.0010648	4.799E-4	5.2E-4	3.756E-4	1.767E-4	4.224E-4	3.454E-4	3.676E-4	3.88E-4	
Ruffed/Spruce Grouse	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
grouse sp.	7.04E-5	1.207E-4	1.607E-4	6.99E-5	9.84E-5	2.69E-5	1.592E-4	0.0015	5.85E-5	9.02E-5	1.553E-4	1.762E-4	1.643E-4	2.234E-4	2.308E-4	2.175E-4	3.413E-4	2.658E-4	2.438E-4	1.056E-4	1.769E-4	1.379E-4	9.67E-5	1.631E-4	1.046E-4	2.097E-4	2.191E-4	2.053E-4	2.41E-4	9.34E-5	2.117E-4	2.27E-4	2.482E-4	1.467E-4	3.568E-4	2.938E-4	4.548E-4	2.38E-4	3.804E-4	2.229E-4	2.399E-4	9.75E-5	7.51E-5	2.474E-4	3.379E-4	1.727E-4	2.941E-4	1.552E-4	
Gray Partridge	7.04E-5	9.05E-5	1.607E-4	1.165E-4	6.56E-5	2.69E-5	7.96E-5	9.73E-5	1.17E-4	1.804E-4	3.882E-4	2.995E-4	3.52E-4	2.681E-4	3.357E-4	2.797E-4	2.654E-4	3.367E-4	8.939E-4	6.489E-4	4.424E-4	6.895E-4	3.386E-4	2.65E-4	2.615E-4	5.99E-5	3.129E-4	3.65E-4	2.109E-4	2.801E-4	4.536E-4	3.096E-4	1.379E-4	3.228E-4	2.082E-4	1.469E-4	9.1E-5	8.92E-5	3.46E-5	2.476E-4	3.43E-5	9.75E-5	7.51E-5	1.06E-4	4.22E-5	0.0015	1.103E-4	5.691E-4	
Golden Pheasant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-necked Pheasant	0.0140385	0.0145759	0.0162913	0.0162124	0.0156501	0.0148152	0.0136534	0.0169321	0.0184281	0.0186461	0.0197185	0.0234459	0.0280672	0.029599	0.0303603	0.0292724	0.0301249	0.0287294	0.0336029	0.0299116	0.0248822	0.0225455	0.0200474	0.0141861	0.0116349	0.0108136	0.0097634	0.0099453	0.011238	0.0101463	0.0110977	0.0103612	0.0119117	0.0125308	0.0153736	0.0164508	0.0148561	0.016987	0.0182585	0.0193889	0.0192631	0.0169321	0.0200556	0.0212089	0.022134	0.021588	0.0220907	0.0211357	
Ring-necked x Green Pheasant (hybrid)	0.0	0.0	0.0	2.33E-5	0.0	0.0	3.98E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ring-necked/Green Pheasant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Silver Pheasant	0.0	0.0	0.0	0.0	0.0	2.69E-5	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Indian Peafowl	0.0010095	4.828E-4	0.0011889	5.358E-4	4.265E-4	5.657E-4	5.573E-4	8.758E-4	0.0010823	9.323E-4	8.798E-4	7.398E-4	6.336E-4	6.031E-4	6.504E-4	6.37E-4	7.204E-4	4.785E-4	4.266E-4	5.131E-4	8.847E-4	6.205E-4	3.869E-4	7.541E-4	7.844E-4	7.788E-4	7.197E-4	8.668E-4	3.013E-4	4.046E-4	7.56E-4	3.922E-4	7.445E-4	5.282E-4	9.516E-4	8.079E-4	5.457E-4	8.925E-4	4.495E-4	4.21E-4	6.512E-4	4.875E-4	5.634E-4	6.716E-4	5.491E-4	3.454E-4	4.411E-4	5.691E-4	
Green Peafowl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25E-5	0.0	0.0	0.0	0.0	0.0	0.0	
pheasant sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	1.76E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Red Junglefowl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Quail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Japanese Quail	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Chukar	0.0015729	0.0015692	0.0010282	0.0010249	8.202E-4	7.812E-4	8.16E-4	0.0011353	0.0018721	0.0017443	0.0030794	0.0030474	0.003262	0.0026136	0.0029584	0.0031075	0.0025404	0.0020913	0.003535	0.0028523	0.0027205	0.0025051	0.0028052	0.0024255	0.0023793	0.0017673	0.0021905	0.0025091	0.0017776	0.0021786	0.0021167	0.0020021	0.0021783	0.0020542	0.0020221	0.0021053	0.0022133	0.0019337	0.0016944	0.0018076	0.0015424	0.0022749	0.0014272	0.0016967	0.0014362	9.067E-4	0.0014335	0.0033372	
Rock Pigeon	0.1327089	0.1333856	0.1345715	0.1346145	0.1327471	0.120946	0.1081323	0.1342891	0.1287039	0.1192445	0.113834	0.1094435	0.1064254	0.1033173	0.1002287	0.1002781	0.0968586	0.0909026	0.0927634	0.081872	0.0757304	0.077312	0.0735394	0.0768415	0.0871964	0.0939073	0.1017023	0.1071624	0.1143382	0.1222845	0.1247354	0.118741	0.1167728	0.1260711	0.1229594	0.1265882	0.118273	0.1253644	0.1308873	0.1380002	0.1325107	0.1324342	0.1312251	0.1347119	0.1362254	0.1264194	0.1332427	0.1261415	
Columba sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Band-tailed Pigeon	0.0014555	0.0011468	0.0012532	0.0013277	0.001542	0.0015623	0.0023485	0.0026274	0.0034224	0.0046014	0.0073491	0.0102168	0.0148784	0.0186306	0.0235832	0.0271904	0.0329497	0.0321323	0.0379708	0.0404002	0.0450092	0.0454128	0.0453666	0.0406017	0.0389312	0.0377127	0.0331706	0.0324361	0.033714	0.0335823	0.0357121	0.0407843	0.0445033	0.0457213	0.0511166	0.0453867	0.0349574	0.0216279	0.0103742	0.0032439	0.0021594	0.0017225	0.0013896	0.0011311	0.001056	5.613E-4	0.0020584	0.001785	
Rock/Band-tailed Pigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0E-5	3.13E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Oriental Turtle-Dove	0.0	0.0	3.21E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0014477	2.486E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	2.45E-5	3.03E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian Collared-Dove	0.0765312	0.0709177	0.0718165	0.069788	0.0699498	0.0708975	0.0744567	0.0739888	0.0769006	0.0766593	0.0783563	0.0820871	0.0832864	0.0839942	0.0975011	0.1045354	0.1086507	0.11054	0.1092804	0.103619	0.0949506	0.0915609	0.0849294	0.0900697	0.0940204	0.1007968	0.1048629	0.1152372	0.118737	0.1117958	0.1045963	0.1033643	0.0966168	0.0910612	0.0861459	0.0810546	0.0696723	0.0640209	0.0668096	0.062921	0.0645758	0.061131	0.0650868	0.066702	0.0726958	0.0697293	0.0803499	0.0776614	
Oriental Turtle-Dove x Eurasian Collared-Dove (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1E-5	1.55E-5	0.0	0.0	0.0	0.0	0.0	2.3E-5	0.0	0.0	2.61E-5	5.99E-5	6.26E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25E-5	0.0	0.0	0.0	0.0	0.0	0.0	
African Collared-Dove	0.0	0.0	0.0	0.0	0.0	0.0	1.99E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1E-5	0.0	0.0	0.0015	0.0	0.0	2.21E-5	0.0	0.0	0.0	0.0	3.0E-5	3.13E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian/African Collared-Dove	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Streptopelia sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13E-5	0.0	0.0	0.0	0.0	0.0	2.76E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25E-5	0.0	0.0	0.0	0.0	0.0	0.0	
White-winged Dove	0.0	3.02E-5	3.21E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.865E-4	5.867E-4	3.351E-4	1.049E-4	0.0	0.0	0.0	0.0	1.51E-5	0.0	0.0	2.42E-5	0.0015	0.0	0.0	0.0	0.0015	0.0	6.22E-5	0.0015	0.0	0.0	5.576E-4	4.163E-4	0.0	0.0015	0.0	0.0	2.48E-5	3.43E-5	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0	
Mourning Dove	0.0173017	0.0155717	0.0157129	0.0124854	0.0136159	0.014923	0.015982	0.013364	0.0154152	0.0184656	0.0221768	0.0241153	0.0261898	0.0253323	0.0291223	0.0334364	0.0432821	0.0516102	0.0665759	0.062766	0.055515	0.0509285	0.0498162	0.0468795	0.0472455	0.0472382	0.0455314	0.0434991	0.0527854	0.0487084	0.0479589	0.0422497	0.0360107	0.0323101	0.0272384	0.0217141	0.0167965	0.015321	0.0142818	0.0138669	0.0159383	0.0161196	0.0159243	0.0157653	0.017572	0.018652	0.0230831	0.0195059	
pigeon/dove sp.	1.409E-4	1.811E-4	1.285E-4	1.398E-4	1.312E-4	1.616E-4	5.573E-4	1.297E-4	2.048E-4	2.105E-4	1.811E-4	1.233E-4	2.112E-4	2.681E-4	2.308E-4	4.195E-4	3.792E-4	5.14E-4	4.266E-4	4.527E-4	4.866E-4	3.447E-4	2.66E-4	4.688E-4	4.445E-4	2.396E-4	4.694E-4	6.387E-4	3.013E-4	2.801E-4	1.21E-4	5.573E-4	3.86E-4	6.456E-4	6.245E-4	5.63E-4	4.245E-4	3.867E-4	1.729E-4	2.724E-4	2.399E-4	3.25E-4	1.502E-4	2.474E-4	2.112E-4	3.454E-4	2.941E-4	2.846E-4	
Yellow-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	2.28E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	2.421E-4	7.43E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-billed Cuckoo	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42E-5	0.0	2.876E-4	0.0	0.0015	0.0	3.01E-5	0.0	3.02E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Lesser Nighthawk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.69E-5	0.0	0.0	1.51E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Nighthawk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	7.09E-5	1.828E-4	0.0033352	0.0213877	0.0377827	0.0463581	0.0427215	0.0338327	0.0372035	0.0381462	0.0420164	0.0416077	0.0407407	0.0302994	0.0198349	0.0089337	0.0037857	0.0014273	4.651E-4	1.516E-4	8.92E-5	6.92E-5	7.43E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
nighthawk sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03E-5	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Poorwill	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76E-5	4.69E-5	2.23E-5	1.469E-4	2.175E-4	9.479E-4	0.0012584	0.0038804	0.0033352	0.0036715	0.0032175	0.0026601	0.002772	0.0027192	0.0020069	0.0018776	0.0015283	9.641E-4	0.0011516	7.56E-4	6.192E-4	7.996E-4	6.163E-4	3.866E-4	7.34E-5	1.213E-4	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black Swift	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	3.792E-4	0.0016305	0.0069278	0.0116205	0.0148187	0.0195578	0.0230219	0.0202805	0.0188512	0.0179727	0.0192139	0.0175411	0.0158477	0.0165577	0.0142728	0.012033	0.0102021	0.0070431	0.0056201	0.0020564	4.245E-4	8.92E-5	3.46E-5	2.48E-5	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Vaux's Swift	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07E-4	1.233E-4	0.0015	2.23E-5	0.0017624	0.0118395	0.0262764	0.0305372	0.0394133	0.0352238	0.0307213	0.0305663	0.0282453	0.0235824	0.0212043	0.021058	0.0226874	0.0197765	0.020849	0.0204793	0.0241609	0.0277399	0.0307442	0.0287592	0.0268816	0.0131705	0.0045781	9.52E-4	4.15E-4	1.486E-4	6.86E-5	3.25E-5	3.76E-5	0.0	0.0	0.0	0.0	0.0	
White-throated Swift	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.228E-4	0.0014081	0.0031274	0.0041963	0.005407	0.0066165	0.0076387	0.0157856	0.0126769	0.0110145	0.0102271	0.0086332	0.0077861	0.0060135	0.0049125	0.0046627	0.0029881	0.002802	0.0023965	0.0016631	0.0015273	0.0011029	7.63E-4	5.947E-4	7.34E-5	6.06E-5	0.0	0.0	0.0	0.0	3.25E-5	0.0	0.0	0.0	0.0	0.0	0.0	
large swift sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55E-5	0.0	0.0	2.03E-5	1.51E-5	0.0	0.0	0.0	2.04E-5	0.0	0.0	3.13E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
small swift sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
swift sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.47E-5	2.1E-5	1.088E-4	2.465E-4	3.19E-4	2.235E-4	3.924E-4	3.318E-4	3.677E-4	5.804E-4	3.261E-4	4.445E-4	3.295E-4	2.191E-4	4.562E-4	2.109E-4	3.735E-4	2.721E-4	4.128E-4	4.412E-4	4.695E-4	1.487E-4	1.469E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
