









Frequency of observations in the selected location(s).:
Number of taxa: 	854

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Taiga/Tundra Bean-Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Pink-footed Goose	0.0	0.0	6.43E-5	0.0011181	2.297E-4	5.926E-4	0.0	0.0	2.93E-5	2.707E-4	7.76E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	5.165E-4	4.225E-4	3.213E-4	3.028E-4	4.593E-4	3.771E-4	2.587E-4	2.271E-4	3.51E-4	1.203E-4	3.364E-4	2.114E-4	1.643E-4	1.787E-4	1.679E-4	7.77E-5	1.896E-4	2.836E-4	6.09E-5	1.66E-4	1.991E-4	1.379E-4	2.176E-4	2.242E-4	3.922E-4	2.696E-4	2.503E-4	4.562E-4	3.917E-4	4.046E-4	6.955E-4	5.573E-4	3.033E-4	5.869E-4	4.46E-4	3.672E-4	5.457E-4	5.355E-4	5.879E-4	5.2E-4	3.428E-4	7.8E-4	1.127E-4	3.535E-4	4.224E-4	5.181E-4	3.308E-4	3.622E-4	
Anser sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Brant	0.0151654	0.0169901	0.0146204	0.0157932	0.0142393	0.0163506	0.0124791	0.0167699	0.0210314	0.0232775	0.0237812	0.0192182	0.0179292	0.0173126	0.0151277	0.012896	0.0101048	0.0068412	0.002702	0.0016752	0.0011059	0.0010572	9.915E-4	9.58E-4	6.014E-4	3.295E-4	8.136E-4	7.071E-4	4.821E-4	4.98E-4	5.745E-4	5.986E-4	4.412E-4	5.282E-4	6.542E-4	4.896E-4	8.792E-4	0.0013982	0.0019711	0.0048039	0.0069923	0.0104322	0.00984	0.0099682	0.0087015	0.0076422	0.0105124	0.0117708	
Barnacle Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Cackling Goose	0.0268798	0.0230558	0.0205006	0.0228512	0.0181764	0.0148422	0.0133548	0.0175484	0.0164975	0.015789	0.0148794	0.016664	0.0137755	0.0141405	0.0229748	0.0207579	0.0123799	0.0066462	0.004754	0.003788	9.511E-4	5.056E-4	3.627E-4	3.465E-4	1.569E-4	2.396E-4	3.442E-4	4.79E-4	3.314E-4	7.158E-4	6.35E-4	6.811E-4	6.342E-4	0.0026998	0.0128461	0.0391442	0.0472971	0.0587255	0.0648731	0.074683	0.0663239	0.0592785	0.0513408	0.0413927	0.0365802	0.0327274	0.0304712	0.0257923	
Greater White-fronted x Cackling Goose (hybrid)	0.0	0.0	0.0	0.0	3.28E-5	5.39E-5	1.99E-5	0.0	0.0	2.105E-4	0.0	1.057E-4	2.35E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.2062587	0.2082265	0.2114971	0.2258328	0.2365563	0.2349962	0.2284452	0.2942035	0.3189516	0.346576	0.373952	0.391816	0.3933399	0.394527	0.4008938	0.3824366	0.3710922	0.3674211	0.3361505	0.3209381	0.2489549	0.1982442	0.1629425	0.1444906	0.1529532	0.1716691	0.2030918	0.2408303	0.2640174	0.2719265	0.2641669	0.2650155	0.271128	0.2740932	0.2748818	0.2961884	0.2962435	0.2961266	0.2980497	0.2947207	0.2731105	0.2628534	0.2514084	0.2309297	0.2225226	0.2166573	0.2144747	0.2026646	
Swan x Canada Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11E-5	3.02E-5	8.26E-5	1.103E-4	8.8E-5	2.97E-5	4.9E-5	6.06E-5	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	4.22E-5	0.0	0.0015	2.59E-5	
