Com_Name,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,annual_mean,annual_max,n_months_present,rarity,present_m1,present_m2,present_m3,present_m4,present_m5,present_m6,present_m7,present_m8,present_m9,present_m10,present_m11,present_m12
Willet,0.0015025,0.0014787,0.0010925,6.988e-4,3.937e-4,5.387e-4,4.18e-4,8.109e-4,4.68e-4,1.804e-4,1.811e-4,2.995e-4,2.112e-4,2.457e-4,6.504e-4,1.554e-4,2.085e-4,2.304e-4,2.438e-4,7.55e-5,4.42e-5,4.6e-5,1.693e-4,4.892e-4,3.138e-4,2.097e-4,5.32e-4,9.124e-4,9.641e-4,9.337e-4,7.257e-4,0.0013829,0.001489,0.0013206,0.0016058,0.0020074,0.0010308,0.0016065,9.683e-4,0.0010153,5.141e-4,6.5e-4,5.634e-4,7.423e-4,6.758e-4,3.454e-4,6.249e-4,6.985e-4,NA,0.001193125,5.40325e-4,2.8225e-4,3.15675e-4,1.8955e-4,1.8717499999999998e-4,4.91975e-4,0.0010016,0.0016056999999999998,0.001155225,6.1745e-4,5.8615e-4,6.805166666666667e-4,0.0016056999999999998,4,Very rare,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Spotted Redshank,0,0,0,0,0,0,0,0,0.0015,3.01e-5,2.59e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97e-5,6.92e-5,0.0016343,0,0.0015,0,0,0,0,0,0,NA,0,0,3.89e-4,0,0,0,0,0,0,4.333e-4,3.75e-4,0,9.9775e-5,4.333e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Greater Yellowlegs,0.0196023,0.0176842,0.0168054,0.0160727,0.0140425,0.0149768,0.0110461,0.0150508,0.015737,0.0161499,0.0192527,0.0258768,0.0406928,0.0591087,0.0766035,0.0689859,0.0413862,0.0262659,0.018447,0.0107603,0.0068786,0.0072394,0.0103018,0.0137989,0.0224854,0.0305236,0.0457191,0.0631615,0.0752011,0.0808901,0.0784699,0.079484,0.074889,0.0645909,0.0567367,0.054934,0.0459328,0.044535,0.0399059,0.0419473,0.0296487,0.0284693,0.0224217,0.019088,0.0174453,0.0170977,0.0139308,0.013918,NA,0.01754115,0.01377905,0.0192541,0.061347725000000006,0.02421485,0.009554675,0.0404724,0.078511275,0.06278765,0.04308025,0.024906925,0.01559795,0.034254,0.078511275,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Lesser/Greater Yellowlegs,4.7e-5,6.04e-5,6.43e-5,0,0,0,0,0,2.93e-5,0,0,1.76e-5,7.04e-5,3.351e-4,6.714e-4,9.012e-4,7.015e-4,5.494e-4,4.266e-4,2.566e-4,8.85e-5,2.068e-4,7.25e-5,3.873e-4,3.399e-4,5.991e-4,8.136e-4,7.755e-4,0.0014763,0.0010271,0.0010886,0.0011971,6.893e-4,5.869e-4,5.353e-4,3.917e-4,1.516e-4,2.082e-4,1.729e-4,7.43e-5,6.86e-5,3.25e-5,7.51e-5,7.07e-5,4.22e-5,4.32e-5,3.68e-5,2.59e-5,NA,4.2925e-5,0,1.1725e-5,4.94525e-4,4.83525e-4,1.88775e-4,6.32025e-4,0.001197275,5.507999999999999e-4,1.5175e-4,6.1725e-5,3.7025e-5,3.2100625e-4,0.001197275,1,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Tringa sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55e-5,1.9e-5,0.0015,2.03e-5,0,0,0,0.0015,0,0,5.99e-5,0,0,3.01e-5,3.11e-5,0.0015,2.06e-5,2.76e-5,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,0,NA,0,0,0,3.875e-6,3.84825e-4,3.75e-4,1.4975e-5,3.9545e-4,6.9e-6,0,3.75e-4,0,1.2966875e-4,3.9545e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ruddy Turnstone,4.93e-4,4.828e-4,5.141e-4,2.33e-5,3.28e-5,1.616e-4,2.388e-4,3.892e-4,8.78e-5,6.01e-5,5.18e-5,7.05e-5,7.04e-5,1.117e-4,1.888e-4,4.506e-4,0.0017821,0.0014179,4.47e-4,1.811e-4,4.645e-4,0,2.42e-5,4.08e-5,2.61e-5,3.595e-4,0.0019089,0.0034215,0.0037962,0.0026766,0.002782,0.0041899,0.0054595,0.0018195,7.137e-4,9.547e-4,3.638e-4,8.627e-4,7.262e-4,5.448e-4,3.085e-4,5.85e-4,7.51e-5,1.414e-4,4.22e-5,1.727e-4,7.35e-5,1.811e-4,NA,3.783e-4,2.0559999999999998e-4,6.755e-5,2.05375e-4,9.57025e-4,1.32375e-4,0.001429,0.003361175,0.00223685,6.24375e-4,2.775e-4,1.1737500000000001e-4,8.327083333333333e-4,0.003361175,3,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Black Turnstone,0.0440876,0.0425808,0.0376595,0.0356394,0.0288395,0.0270984,0.018649,0.0229978,0.0226987,0.0203001,0.0163285,0.0139513,0.0135643,0.0135597,0.0132184,0.0115287,0.0048344,0.0015242,2.844e-4,1.509e-4,1.106e-4,6.89e-5,9.67e-5,2.242e-4,0.001255,0.0038342,0.0113907,0.0172901,0.0169624,0.0225646,0.0268219,0.0337874,0.0393471,0.0406738,0.0379137,0.0381405,0.0342298,0.0409651,0.0393181,0.0448445,0.0433933,0.0486188,0.0442425,0.0402969,0.0399172,0.0417512,0.0372344,0.0413659,NA,0.039991825,0.024396175,0.01831965,0.012967774999999999,0.001698475,1.251e-4,0.0084425,0.025034075,0.039018775000000006,0.039839374999999996,0.044137875,0.040067175,0.02450323125,0.044137875,11,Common,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Red Knot,2.817e-4,6.337e-4,6.748e-4,1.398e-4,3.28e-5,5.39e-5,9.95e-5,1.622e-4,8.78e-5,0.0015,5.18e-5,5.28e-5,4.69e-5,0,1.049e-4,3.107e-4,0.0010617,0.0017723,0.0020519,0.0014337,3.096e-4,2.988e-4,5.562e-4,1.427e-4,2.353e-4,1.198e-4,2.816e-4,0.001437,0.0019584,0.0018985,0.0019655,0.0042312,0.0058731,0.0039911,0.0036873,0.0030356,0.0012431,0.0015172,6.57e-4,4.21e-4,6.512e-4,3.9e-4,7.51e-5,1.767e-4,8.45e-5,1.295e-4,4.411e-4,4.915e-4,NA,4.325e-4,8.71e-5,4.231e-4,1.15625e-4,0.0015799,3.26825e-4,5.18425e-4,0.0025134,0.004146775,9.595750000000001e-4,3.2325e-4,2.8665e-4,9.7609375e-4,0.004146775,3,Very rare,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Surfbird,0.0107519,0.0104113,0.0104752,0.0115071,0.0085633,0.0082965,0.0047369,0.0057413,0.0059379,0.0061352,0.0043991,0.004122,0.0035671,0.0037083,0.0031262,0.0019888,4.74e-4,2.836e-4,6.09e-5,1.358e-4,2.21e-5,6.89e-5,2.42e-5,1.019e-4,4.445e-4,0.0011682,0.0031606,0.0042883,0.004911,0.0065359,0.0073178,0.0072033,0.0093473,0.0096842,0.0117161,0.0115303,0.0100658,0.0116023,0.0089909,0.0132231,0.0108655,0.0115047,0.0096898,0.0104984,0.0089127,0.0092397,0.0081967,0.0104256,NA,0.010786375,0.0068345,0.00514855,0.0030976,0.00023857499999999998,5.4275e-5,0.0022654,0.0064919999999999995,0.010569475,0.010970525,0.010639599999999999,0.009193675,0.006357545833333333,0.010970525,10,Uncommon,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Ruff,2.817e-4,3.32e-4,0,1.631e-4,4.921e-4,0,0,0,0,0,0,0,4.69e-5,1.117e-4,0,3.107e-4,5.69e-5,5.32e-5,2.03e-5,4.53e-5,0,0,0,2.04e-5,2.61e-5,3e-5,5.633e-4,1.369e-4,1.808e-4,2.49e-4,0.001391,0.0017131,0.0019577,4.989e-4,0.001011,0.0014688,2.425e-4,9.52e-4,6.92e-5,9.9e-5,0,0,7.136e-4,3.535e-4,3.379e-4,4.32e-5,0,1.811e-4,NA,1.942e-4,1.23025e-4,0,1.17325e-4,4.3925e-5,5.1e-6,1.89075e-4,8.83475e-4,0.0012341000000000001,3.4067500000000003e-4,2.66775e-4,1.4055e-4,2.9485208333333336e-4,0.0012341000000000001,1,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Sharp-tailed Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0.0015,7.018e-4,0.0013235,0.0017021,0.0028249,0.0053122,0.0024558,0.001904,0.0011066,0.0013372,8.569e-4,3.575e-4,7.51e-5,1.06e-4,0,0,0,0,NA,0,0,0,0,0,0,0,9.2545e-4,0.0027906750000000003,0.0017009,3.48875e-4,0,4.804916666666667e-4,0.0027906750000000003,2,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Curlew Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53e-5,0,0,0,0,0,0.0015,3.13e-5,0.0015,0,0,0,4.13e-5,0.0012959,7.923e-4,2.676e-4,7.34e-5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1.1325e-5,0,7.578250000000001e-4,1.0325e-5,6.073e-4,0,0,0,1.1556458333333333e-4,7.578250000000001e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Stilt Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77e-5,3.251e-4,3.924e-4,1.769e-4,4.6e-5,0.0015,2.04e-5,2.615e-4,3.295e-4,3.755e-4,5.246e-4,0.0046097,0.010831,0.0162685,0.0136636,0.008079,0.005429,0.0030034,0.0016891,5.154e-4,1.487e-4,1.729e-4,2.48e-5,0,0,0,0,0,0,0,0,NA,0,0,0,0,1.838e-4,4.35825e-4,3.72775e-4,0.011343200000000001,0.0045501249999999995,2.1544999999999998e-4,0,0,0.0014250979166666668,0.011343200000000001,2,Rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Temmincks Stint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.103e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,3.013e-4,0,0,0,2.7575e-5,0,0,0,2.740625e-5,3.013e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Red-necked Stint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,0,0,4.08e-5,1.046e-4,1.498e-4,5.633e-4,2.053e-4,2.41e-4,0,0,4.13e-5,0,0,0,0,0,0,0,0.0015,3.43e-5,6.5e-5,0.0015,0,0,0,0,0,NA,0,0,0,0,3.75e-4,1.02e-5,2.5575e-4,7.0575e-5,0,3.75e-4,3.9982500000000003e-4,0,1.238625e-4,3.9982500000000003e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Spoon-billed Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.12e-5,1.205e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2.28e-5,3.0125e-5,0,0,0,0,4.410416666666667e-6,3.0125e-5,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Buff-breasted Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51e-5,0,0,0,0,0,0,0,0,0,0.0015,0.0011188,0.0021053,0.0048253,0.0045193,0.0017544,0.001224,3.032e-4,0.0015,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,3.775e-6,0,0,0.001181025,0.00308075,4.508e-4,0,0,3.9302916666666667e-4,0.00308075,2,Very rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sanderling,0.0076531,0.0071219,0.0069728,0.0064524,0.0043965,0.0035287,0.0037218,0.0039573,0.0031591,0.0037292,0.0029759,0.0020258,0.0017366,0.0023679,0.0017834,0.0033405,0.0062373,0.0055474,0.0039007,0.0022336,9.289e-4,4.596e-4,1.209e-4,8.15e-5,2.876e-4,0.0018272,0.0055389,0.0077783,0.0097014,0.0124805,0.0150287,0.0223323,0.0285935,0.0256779,0.0189122,0.0122892,0.0063366,0.0057714,0.0040459,0.0059429,0.0057241,0.0059799,0.0055585,0.0057971,0.0053645,0.0052243,0.0061016,0.0063899,NA,0.00705005,0.0039010750000000004,0.0029725,0.0023071000000000003,0.00447975,3.97725e-4,0.003858,0.014885725,0.0213682,0.0055242,0.0057649,0.005770075,0.006523275,0.0213682,11,Uncommon,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Dunlin,0.0484306,0.0460512,0.0425758,0.040601,0.0354014,0.0340211,0.0247393,0.0280256,0.0277006,0.0272473,0.0206242,0.0191302,0.0175068,0.0235452,0.0316191,0.043054,0.0374618,0.021516,0.010219,0.0044671,0.0014598,0.001241,9.189e-4,5.911e-4,9.413e-4,0.0016475,0.0017837,0.0023266,0.0024705,0.0025521,0.0035379,0.0028689,0.0038051,0.0046367,0.0067204,0.0108938,0.0126429,0.0183554,0.0315029,0.0577209,0.0554242,0.0564186,0.0474724,0.03959,0.0372561,0.0342818,0.0346615,0.0390118,NA,0.04441465,0.03054685,0.023675574999999997,0.028931275,0.018415975,0.0010527,0.0016747749999999999,0.00285735,0.006514,0.030055525,0.0497263,0.036302799999999996,0.022847314583333334,0.0497263,12,Common,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Purple Sandpiper,9.156e-4,1.509e-4,9.64e-5,4.66e-5,0,0,1.99e-5,0,0,0,0,0,0,0,2.1e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17e-5,NA,3.02375e-4,4.975e-6,0,5.25e-6,0,0,0,0,0,0,0,1.2925e-5,2.7127083333333333e-5,3.02375e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Rock Sandpiper,0.0028875,9.355e-4,0.0015745,0.0018402,0.0013452,0.0012391,8.16e-4,0.0012326,0.0010823,0.0011127,8.798e-4,7.398e-4,9.152e-4,8.712e-4,6.504e-4,3.418e-4,1.517e-4,3.54e-5,1.422e-4,0,0,0,0,0,0,0,0,2.28e-5,0.0015,3.11e-5,0,0.0015,2.76e-5,5.87e-5,0,0.0015,9.1e-5,1.785e-4,0.0010374,0.0022286,0.0021594,0.0026649,0.0023661,0.0017321,0.0013939,0.0018566,0.00136,0.001992,NA,0.001809425,0.001158225,9.5365e-4,6.9465e-4,8.2325e-5,0,5.7e-6,7.57775e-4,3.9657500000000003e-4,8.83875e-4,0.002230625,0.001650625,8.852875e-4,0.002230625,4,Very rare,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Purple/Rock Sandpiper,0,0,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3.75e-4,0,0,0,0,0,0,0,0,0,0,0,3.125e-5,3.75e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bairds Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,2.35e-5,8.94e-5,4.616e-4,5.904e-4,7.773e-4,0.0010988,0.0010361,4.377e-4,1.991e-4,1.839e-4,4.84e-5,1.631e-4,6.536e-4,0.001348,0.0035674,0.0061588,0.0172035,0.0353252,0.0356819,0.0422085,0.0325365,0.0211879,0.0120134,0.0039903,8.489e-4,7.14e-4,1.729e-4,1.238e-4,0,0,0,0,0,0,0,0,NA,0,0,0,2.91225e-4,8.374750000000001e-4,1.48625e-4,0.00293195,0.032604775,0.017432025,4.6489999999999997e-4,0,0,0.004559247916666667,0.032604775,3,Rare,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Little Stint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64e-5,0,0,0,0,0,3.13e-5,2.28e-5,0,0,0,0,8.823e-4,8.8e-5,0.0015,0.0015,0.0015,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1.66e-5,1.3525e-5,0,9.92575e-4,3.75e-4,0,0,1.16475e-4,9.92575e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
White-rumped Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,4.06e-5,2.113e-4,4.424e-4,3.447e-4,2.42e-5,2.04e-5,2.61e-5,0,3.13e-5,9.12e-5,6.03e-5,3.11e-5,0,1.032e-4,5.51e-5,0,2.97e-5,0.0015,0,0,0.0015,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,4.37975e-4,2.07925e-4,3.715e-5,4.8650000000000003e-5,3.962e-4,3.75e-4,0,0,1.2524166666666667e-4,4.37975e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Least Sandpiper,4.695e-4,3.621e-4,5.141e-4,3.028e-4,6.234e-4,3.502e-4,7.96e-5,2.595e-4,2.048e-4,1.804e-4,2.846e-4,2.114e-4,2.347e-4,6.255e-4,0.0120014,0.056758,0.067966,0.0420219,0.0191378,0.0042558,9.953e-4,9.423e-4,9.431e-4,0.0057886,0.0296232,0.0470285,0.0599574,0.0700958,0.1013528,0.1170557,0.1190807,0.1067905,0.0750269,0.0505048,0.0285765,0.0151044,0.0070036,0.0049979000000000004,0.0025935,0.0026,0.001988,0.0019825,0.001953,9.191e-4,9.293e-4,8.635e-4,6.249e-4,3.88e-4,NA,4.12125e-4,3.28175e-4,2.203e-4,0.0174049,0.033345375,0.002167325,0.051676225,0.111069925,0.04230315,0.00429875,0.00171065,7.01425e-4,0.022136527083333333,0.111069925,8,Common,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Pectoral Sandpiper,0,0,0,0,0,0,0,0,0,0,0,1.76e-5,2.35e-5,0.0015,8.39e-5,4.817e-4,0.002275,0.0123531,0.0148714,0.0058405,3.76e-4,3.218e-4,1.209e-4,8.15e-5,0.0010458,0.0018871,0.0062899,0.0087591,0.0116598,0.0151572,0.0209555,0.0291228,0.035928,0.0392652,0.0403521,0.0373571,0.0248613,0.0189504,0.0094751,0.0054477,0.0023993,7.15e-4,3.005e-4,1.414e-4,2.534e-4,0,3.68e-5,0,NA,0,0,4.4e-6,5.22275e-4,0.008835,2.2505e-4,0.0044954750000000005,0.019223825,0.0382256,0.014683624999999999,8.890500000000001e-4,7.255e-5,0.0072647375,0.0382256,5,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
Sharp-tailed/Pectoral Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48e-5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,6.2e-6,0,0,5.166666666666667e-7,6.2e-6,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Western Sandpiper,0.0018546,6.639e-4,5.463e-4,6.988e-4,6.234e-4,5.657e-4,1.592e-4,1.622e-4,2.34e-4,3.01e-5,7.76e-5,5.28e-5,3.051e-4,0.0016307,0.0099662,0.0389366,0.05242,0.0406395,0.0221039,0.0083909,0.0019242,0.0011721,0.0012575,0.0054217,0.0227992,0.0369339,0.0499124,0.0537865,0.0729415,0.0902894,0.1026005,0.0927348,0.0891444,0.0768283,0.0482024,0.0340767,0.0167662,0.0108883,0.0069853,0.0057448,0.0028792,0.00182,0.0015398,9.544e-4,8.448e-4,8.203e-4,0.0012497,8.537e-4,NA,9.409e-4,3.7762500000000003e-4,9.8625e-5,0.012709650000000001,0.030888575,0.002443875,0.040858,0.08964155,0.06206295,0.01009615,0.00179835,9.42125e-4,0.02107153125,0.08964155,8,Common,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Semipalmated Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,2.098e-4,7.303e-4,0.0049102,0.0087021,0.0060745,0.0020826,3.981e-4,4.596e-4,4.837e-4,0.0022828,0.0112166,0.0128804,0.0191826,0.024156,0.0312434,0.032493,0.0312065,0.0239835,0.0149999,0.0085691,0.0042225,0.0018115,6.06e-5,5.95e-5,3.46e-5,2.48e-5,0,0,0,0,0,0,0,0,NA,0,0,0,6.10025e-4,0.00544235,9.0605e-4,0.0168589,0.0297316,0.00740075,4.4875e-5,0,0,0.005082879166666667,0.0297316,4,Uncommon,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Western/Semipalmated Sandpiper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.554e-4,1.138e-4,7.09e-5,0,1.51e-5,0,0,0,2.04e-5,1.569e-4,5.99e-5,2.503e-4,2.053e-4,3.013e-4,4.046e-4,2.419e-4,4.334e-4,2.206e-4,3.522e-4,2.082e-4,1.469e-4,0,0,0,0,0,0,0,0,0,4.32e-5,0,0,NA,0,0,0,3.885e-5,4.995e-5,5.1e-6,1.681e-4,3.453e-4,2.31975e-4,0,0,1.08e-5,7.083958333333333e-5,3.453e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
peep sp.,4.695e-4,5.13e-4,3.856e-4,6.056e-4,3.937e-4,4.31e-4,2.587e-4,2.271e-4,5.265e-4,4.21e-4,4.14e-4,6.165e-4,4.224e-4,8.936e-4,0.0029794,0.0103634,0.0130055,0.008135,0.0035147,0.0010111,4.424e-4,2.528e-4,2.176e-4,0.0012026,0.0058044,0.0091661,0.0098573,0.0119982,0.0165105,0.0194211,0.0187179,0.0189886,0.0154962,0.0102418,0.0069583,0.0051898,0.0026984,0.0023205,0.0024206,0.00208,0.0011997,9.425e-4,0.0013896,0.0012725,5.491e-4,6.476e-4,7.719e-4,5.433e-4,NA,4.93425e-4,3.27625e-4,4.944999999999999e-4,0.0036647,0.006416575,5.2885e-4,0.0092065,0.018409525,0.009471525,0.002379875,0.001201075,6.27975e-4,0.004435179166666667,0.018409525,7,Rare,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Calidris sp.,0,0,0,2.33e-5,0,0,0,0,2.93e-5,0,0,0,0,0,8.39e-5,1.088e-4,1.896e-4,1.063e-4,1.625e-4,3.02e-5,0,0,0,0,2.61e-5,0.0015,3.13e-5,1.369e-4,3.615e-4,2.801e-4,3.931e-4,2.683e-4,1.654e-4,1.174e-4,1.487e-4,4.9e-5,1.516e-4,2.97e-5,3.46e-5,9.9e-5,3.43e-5,3.25e-5,0,0,0,4.32e-5,3.68e-5,2.59e-5,NA,5.825e-6,0,7.325e-6,4.8175000000000005e-5,1.2215e-4,0,4.23575e-4,3.2575e-4,1.20125e-4,7.8725e-5,1.67e-5,2.6475e-5,9.790208333333333e-5,4.23575e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scolopacidae sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015,0,0,0,0,3.46e-5,0,0,0,0,0,0,4.32e-5,0,0,NA,0,0,0,3.875e-6,0,0,0,0,3.75e-4,8.65e-6,0,1.08e-5,3.3193750000000004e-5,3.75e-4,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
large shorebird sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77e-5,0,1.77e-5,2.03e-5,0,0,0,0,0,0,0,6.26e-5,4.56e-5,0,1.245e-4,3.02e-5,8.26e-5,5.51e-5,0,2.97e-5,0,3.03e-5,0,1.037e-4,0,3.43e-5,0,0,0,0,0,3.68e-5,0,NA,0,0,0,1.9425e-5,9.5e-6,0,2.705e-5,5.9325e-5,2.12e-5,3.35e-5,8.575e-6,9.2e-6,1.5647916666666666e-5,5.9325e-5,0,Vagrant/Accidental,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
shorebird sp.,0.0014555,0.0013278,0.0010282,0.0014908,0.0011155,0.0011852,0.001234,0.001038,0.001053,0.0015939,0.001061,0.0010921,9.387e-4,0.0017648,0.0022031,0.0025326,0.0025594,0.00218,0.0015643,9.508e-4,4.866e-4,5.516e-4,5.562e-4,7.134e-4,0.0010197,0.0017973,0.0021592,0.0023266,0.0031936,0.0046063,0.0048685,0.0039216,0.0035294,0.0043432,0.0035981,0.0031825,0.0024558,0.002618,0.0024552,0.0027239,0.0036675,0.0030874,0.0028168,0.0023683,0.0011827,0.0018134,0.00136,0.0020179,NA,0.001325575,0.001143175,0.0012000000000000001,0.0018598,0.001813625,5.7695e-4,0.0018257,0.0041475,0.0036633,0.002563225,0.002985,0.0015935,0.0020581125,0.0041475,11,Rare,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
